objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,ProboscisMonkey.jpg,,,Proboscis Monkey,Mika Smith,43651,A wild proboscis monkey eating some fruit spotted from the Kinabatangan River. ,Asia; Borneo; Malaysia; Kinabatangan River; Animal; Wild Animal; Proboscis Monkey; Monkey,"Kinabatangan, Sabah, Malaysia",5.524589,118.295001,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll002,Pygmy.jpg,,,Bornean Pygmy Elephant ,Mika Smith,43651,A glimpse of a wild pygmy elaphant. ,Asia; Borneo; Malaysia; Kinabatangan River; Animal; Wild Animal; Elephant; Pygmy Elephant,"Kinabatangan, Sabah, Malaysia",5.524589,118.295001,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
